TimeStamp,ch4,ch6,ch7
6331.5149,-64707.33,-67671.69,-73113.69
6331.5189,-56946.09,-61349.54,-66528.85
6331.5229,-53350.5,-58234.51,-63548.95
6331.5269,-57540.81,-61513.81,-67156.9
6331.5309,-65635.98,-68225.63,-74036.32
6331.5349,-64723.31,-67679.84,-73139.15
6331.5389,-56935.94,-61343.15,-66513.55
6331.5429,-53298.58,-58192.78,-63484.39
6331.5469,-57460.27,-61438.04,-67062.91
6331.5509,-65605.7,-68193.87,-73981.58
6331.5549,-64734.94,-67688.9,-73120.7
6331.5589,-56927.07,-61343.96,-66482.03
6331.5629,-53256.9,-58165.8,-63430.65
6331.5669,-57384.07,-61387.78,-66990.38
6331.5709,-65557.39,-68167.07,-73939.28
6331.5749,-64783.91,-67733.15,-73159.66
6331.5789,-56961.3,-61360.89,-66505.96
6331.5829,-53250.99,-58153.02,-63423.02
6331.5869,-57344.06,-61336.72,-66952.47
6331.5909,-65532.07,-68125.35,-73906.72
6331.5949,-64804.51,-67740.73,-73171.0
6331.5989,-56973.42,-61373.34,-66538.39
6331.6029,-53215.65,-58128.32,-63419.97
6331.6068,-57267.63,-61277.44,-66899.93
6331.6108,-65489.63,-68084.11,-73882.3
6331.6148,-64835.03,-67761.38,-73208.01
6331.6188,-56980.24,-61386.21,-66526.56
6331.6228,-53174.84,-58106.0,-63365.28
6331.6268,-57178.79,-61210.69,-66817.34
6331.6308,-65424.02,-68028.74,-73821.22
6331.6348,-64847.62,-67758.28,-73216.16
6331.6388,-57006.89,-61392.36,-66545.73
6331.6428,-53152.28,-58073.34,-63335.0
6331.6468,-57114.08,-61154.18,-66746.2
6331.6508,-65373.24,-67978.58,-73764.29
6331.6548,-64863.5,-67756.23,-73216.97
6331.6588,-57020.05,-61391.79,-66543.83
6331.6628,-53129.87,-58047.02,-63310.96
6331.6668,-57036.6,-61067.54,-66676.58
6331.6708,-65308.44,-67908.82,-73708.83
6331.6748,-64868.84,-67756.47,-73224.74
6331.6788,-57038.55,-61406.48,-66566.43
6331.6828,-53101.07,-58030.23,-63291.99
6331.6868,-56963.64,-61020.67,-66623.79
6331.6908,-65235.48,-67858.56,-73647.7
6331.6948,-64869.13,-67767.06,-73217.73
6331.6988,-57051.43,-61422.5,-66567.19
6331.7028,-53110.89,-58035.09,-63293.61
6331.7068,-56916.1,-60985.48,-66576.73
6331.7108,-65172.2,-67810.16,-73602.02
6331.7148,-64863.55,-67761.05,-73223.84
6331.7188,-57058.06,-61433.13,-66580.35
6331.7228,-53068.17,-58006.58,-63259.37
6331.7268,-56832.32,-60908.42,-66499.19
6331.7308,-65070.06,-67711.22,-73502.79
6331.7347,-64840.52,-67726.57,-73192.51
6331.7387,-57073.08,-61427.36,-66575.3
6331.7427,-53053.86,-57978.78,-63217.7
6331.7467,-56739.48,-60820.68,-66391.76
6331.7507,-64973.27,-67619.14,-73398.22
6331.7547,-64801.27,-67680.8,-73141.11
6331.7587,-57069.45,-61418.4,-66560.32
6331.7627,-53025.73,-57956.13,-63198.76
6331.7667,-56653.84,-60747.34,-66338.83
6331.7707,-64834.89,-67497.93,-73293.31
6331.7747,-64738.19,-67622.96,-73092.42
6331.7787,-57074.65,-61400.95,-66577.63
6331.7827,-53034.65,-57941.78,-63220.99
6331.7867,-56592.85,-60681.64,-66289.86
6331.7907,-64743.72,-67411.43,-73224.08
6331.7947,-64718.06,-67599.02,-73087.56
6331.7987,-57101.59,-61421.59,-66595.99
6331.8027,-53052.91,-57951.27,-63228.47
6331.8067,-56542.93,-60636.0,-66245.52
6331.8107,-64641.96,-67319.73,-73139.72
6331.8147,-64692.6,-67562.25,-73071.01
6331.8187,-57107.26,-61428.22,-66612.3
6331.8227,-53030.78,-57956.32,-63220.46
6331.8267,-56460.1,-60590.51,-66179.86
6331.8307,-64557.75,-67268.47,-73068.91
6331.8347,-64700.33,-67579.37,-73073.3
6331.8387,-57154.23,-61476.24,-66648.16
6331.8427,-53039.03,-57962.09,-63225.99
6331.8467,-56420.62,-60552.22,-66147.86
6331.8507,-64520.18,-67222.6,-73041.07
6331.8547,-64727.98,-67588.53,-73093.23
6331.8587,-57182.56,-61486.73,-66660.94
6331.8626,-53025.92,-57954.6,-63207.44
6331.8666,-56360.78,-60510.26,-66095.26
6331.8706,-64464.39,-67178.92,-72993.67
6331.8746,-64722.93,-67594.25,-73104.06
6331.8786,-57197.2,-61512.57,-66685.73
6331.8826,-53014.95,-57939.68,-63197.86
6331.8866,-56308.94,-60453.18,-66048.68
6331.8906,-64412.22,-67118.94,-72946.41
6331.8946,-64757.74,-67599.5,-73115.31
6331.8986,-57230.38,-61516.34,-66696.32
6331.9026,-53016.53,-57930.14,-63184.75
6331.9066,-56254.73,-60401.97,-65977.92
6331.9106,-64375.6,-67085.04,-72887.0
6331.9146,-64763.41,-67598.3,-73094.52
6331.9186,-57235.44,-61513.24,-66671.14
